brand,drink_name,type,calories
五十嵐,茉莉綠茶,茶,160
五十嵐,阿薩姆紅茶,茶,160
五十嵐,四季春青茶,茶,160
五十嵐,黃金烏龍,茶,160
五十嵐,微檸檬綠,茶,160
五十嵐,微檸檬青,茶,160
五十嵐,微檸檬紅,茶,160
五十嵐,檸檬綠,茶,200
五十嵐,梅果綠,茶,160
五十嵐,蜂蜜綠,茶,160
五十嵐,桔子綠,茶,200
五十嵐,八冰綠,茶,160
五十嵐,養樂多綠,茶,160
五十嵐,冰淇淋紅茶,茶,120
五十嵐,鮮柚綠,茶,160
五十嵐,檸檬汁,果汁,200
五十嵐,金桔檸檬,果汁,200
五十嵐,金桔檸檬蜜,果汁,200
五十嵐,檸檬蜜,果汁,200
五十嵐,檸檬梅子,果汁,160
五十嵐,檸檬養樂多,果汁,160
五十嵐,蜜茶,果汁,160
五十嵐,八冰茶,果汁,160
五十嵐,鮮柚汁,果汁,160
五十嵐,葡萄柚多多,果汁,160
五十嵐,奶茶,奶茶,160
五十嵐,奶綠,奶茶,160
五十嵐,黃金烏龍奶茶,奶茶,160
五十嵐,四季奶青,奶茶,160
五十嵐,紅茶瑪奇多,奶茶,160
五十嵐,波霸紅,珍珠,120
五十嵐,波霸綠,珍珠,120
五十嵐,波霸青,珍珠,120
五十嵐,波霸烏,珍珠,120
五十嵐,波霸奶茶,珍珠,120
五十嵐,波霸奶綠,珍珠,120
五十嵐,珍珠紅,珍珠,120
五十嵐,珍珠綠,珍珠,120
五十嵐,珍珠青,珍珠,120
五十嵐,珍珠烏,珍珠,120
五十嵐,珍珠奶茶,珍珠,120
五十嵐,珍珠奶綠,珍珠,120
五十嵐,仙草奶凍,仙草,80
五十嵐,布丁奶茶,布丁,120
五十嵐,布丁紅,布丁,120
五十嵐,布丁綠,布丁,120
五十嵐,布丁青,布丁,120
五十嵐,布丁烏,布丁,120
五十嵐,紅茶拿鐵,拿鐵,160
五十嵐,綠茶拿鐵,拿鐵,160
五十嵐,黃金烏龍拿鐵,拿鐵,160
五十嵐,阿華田拿鐵,拿鐵,80
五十嵐,可可巴雷拿鐵,拿鐵,80
麻古茶坊,蜜桃奶茶,奶茶,513
麻古茶坊,濃厚芋泥鮮奶,鮮奶,637
麻古茶坊,芋泥波波鮮奶,鮮奶,587
麻古茶坊,楊枝甘露2.0,果汁,373
麻古茶坊,芝芝芒果果粒,果汁,480
麻古茶坊,芝芝草莓果粒,果汁,435
麻古茶坊,芝芝葡萄果粒,果汁,517
麻古茶坊,蕃茄梅蜜,果汁,270
麻古茶坊,梅好旺萊,果汁,553
麻古茶坊,芒果果粒波波,果汁,305
麻古茶坊,抹茶提拉米蘇2.0,茶,523
麻古茶坊,抹茶拿鐵,拿鐵,241
麻古茶坊,葡萄果粒波波,果汁,316
麻古茶坊,芝芝金萱,茶,349
麻古茶坊,芝芝金萱雙Ｑ,茶,516
麻古茶坊,芝芝金萱三Ｑ,茶,610
麻古茶坊,芝芝錫蘭紅茶,茶,349
麻古茶坊,芝芝翡翠綠茶,茶,349
麻古茶坊,芝芝錫蘭奶茶,茶,725
麻古茶坊,高山金萱茶,茶,137
麻古茶坊,翡翠綠茶,茶,137
麻古茶坊,錫蘭紅茶,茶,183
麻古茶坊,文山青茶,茶,137
麻古茶坊,古早味紅茶,茶,183
麻古茶坊,金萱雙Q,茶,304
麻古茶坊,金萱三Q,茶,398
麻古茶坊,梅子冰茶,茶,139
麻古茶坊,梅子綠茶,茶,218
麻古茶坊,多多綠茶,茶,327
麻古茶坊,冬瓜茶,茶,372
麻古茶坊,冬瓜青茶,茶,248
麻古茶坊,冬瓜檸檬,茶,389
麻古茶坊,香橙果粒茶,果汁,365
麻古茶坊,柳橙果粒茶,果汁,367
麻古茶坊,葡萄柚果粒茶,果汁,314
麻古茶坊,葡萄柚果粒蜜茶,果汁,344
麻古茶坊,葡萄柚果粒多多,果汁,331
麻古茶坊,奇異果果粒茶,果汁,294
麻古茶坊,百香雙Q果,果汁,499
麻古茶坊,百香綠茶,茶,332
麻古茶坊,百香多多,果汁,421
麻古茶坊,翡翠香橙,果汁,393
麻古茶坊,翡翠柳橙,果汁,395
麻古茶坊,冰萃檸檬,果汁,266
麻古茶坊,檸檬紅茶,茶,255
麻古茶坊,檸檬綠茶,茶,255
麻古茶坊,蜂蜜檸檬,果汁,374
麻古茶坊,檸檬多多,果汁,399
麻古茶坊,檸檬梅子,果汁,344
麻古茶坊,錫蘭奶茶,奶茶,514
麻古茶坊,鐵觀音奶茶,奶茶,514
麻古茶坊,波霸奶茶,珍珠,669
麻古茶坊,椰果奶茶,奶茶,581
麻古茶坊,仙草凍奶茶,仙草,465
麻古茶坊,玫瑰奶茶,奶茶,485
麻古茶坊,布丁奶茶,布丁,550
麻古茶坊,紅茶拿鐵,拿鐵,315
麻古茶坊,鐵觀音拿鐵,拿鐵,315
麻古茶坊,波霸紅茶拿鐵,拿鐵,473
麻古茶坊,阿華田拿鐵,拿鐵,465
麻古茶坊,玫瑰紅茶拿鐵,拿鐵,377
麻古茶坊,布丁紅茶拿鐵,拿鐵,374
清心福全,烏龍綠茶,茶,226
清心福全,特級綠茶,茶,205
清心福全,錫蘭紅茶,茶,211
清心福全,極品菁茶,茶,226
清心福全,原鄉四季,茶,128
清心福全,特選普洱,茶,202
清心福全,翡翠烏龍,茶,226
清心福全,嚴選高山茶,茶,226
清心福全,粉條奶茶,奶茶,665
清心福全,波霸奶茶,珍珠,720
清心福全,珍珠奶茶,珍珠,720
清心福全,錫蘭奶紅,奶茶,654
清心福全,烏龍奶茶,奶茶,633
清心福全,特級奶綠,奶茶,620
清心福全,仙草凍奶茶,仙草,470
清心福全,椰果奶茶,奶茶,538
清心福全,布丁奶茶,布丁,613
清心福全,暗黑水晶奶茶,奶茶,665
清心福全,粉圓奶茶,奶茶,674
清心福全,蜂蜜奶茶,奶茶,737
清心福全,粉條紅茶拿鐵,拿鐵,541
清心福全,粉條鮮奶茶,鮮奶,541
清心福全,鮮奶茶,鮮奶,375
清心福全,紅茶拿鐵,拿鐵,375
清心福全,珍珠鮮奶茶,鮮奶,401
清心福全,珍珠紅茶拿鐵,拿鐵,401
清心福全,珍珠蜂蜜鮮奶普洱,鮮奶,541
清心福全,頂級可可拿鐵,拿鐵,596
清心福全,咖啡拿鐵,拿鐵,414
清心福全,粉圓紅茶拿鐵,拿鐵,497
清心福全,粉圓鮮奶茶,鮮奶,497
清心福全,粉圓紅茶拿鐵,拿鐵,497
清心福全,粉圓鮮奶茶,鮮奶,497
清心福全,港式奶茶,奶茶,354
清心福全,珍珠港式奶茶,珍珠,674
清心福全,梅子綠茶,茶,202
清心福全,蜂蜜烏龍,茶,321
清心福全,蜂蜜綠茶,茶,300
清心福全,蜜茶,茶,255
清心福全,情人茶,茶,193
清心福全,咖啡奶茶,奶茶,364
清心福全,芋香奶茶,奶茶,606
清心福全,鮮橙綠,果汁,217
清心福全,鳳梨紅茶,果汁,314
清心福全,蜂蜜檸檬,果汁,258
清心福全,蘆薈蜂蜜檸檬,果汁,312
清心福全,金桔檸檬,果汁,211
清心福全,葡萄柚綠茶,果汁,247
清心福全,檸檬紅茶,果汁,208
清心福全,檸檬綠茶,果汁,202
清心福全,檸檬汁,果汁,205
清心福全,葡萄柚汁,果汁,229
清心福全,桔茶,果汁,202
清心福全,雙Q百香果綠茶,茶,500
清心福全,百香果綠茶,茶,399
清心福全,冬瓜茶,茶,261
清心福全,冬瓜菁茶,茶,291
清心福全,冬瓜檸檬,茶,261
清心福全,優多百香果綠茶,果汁,446
清心福全,優多鮮橙,果汁,339
清心福全,優多綠茶/多多綠茶,果汁,330
清心福全,蘆薈優多綠茶,果汁,368
清心福全,優多檸檬,果汁,333
清心福全,優多葡萄柚,果汁,345
清心福全,冰淇淋紅茶,茶,532
清心福全,冰淇淋奶茶,奶茶,750
清心福全,蘋果醋,茶,374
清心福全,蘋果醋紅茶,茶,386
清心福全,蜂蜜蘋果醋,茶,493
清心福全,藍莓醋,茶,356
清心福全,蜂蜜藍莓醋,茶,481
清心福全,蜂蜜蘋果醋紅茶,茶,528
清心福全,藍莓醋紅茶,茶,385
清心福全,桂圓茶,茶,290
清心福全,桂圓鮮奶茶,鮮奶,405
清心福全,薑薑好茶,茶,273
清心福全,薑薑奶茶,奶茶,515